Time,Open,High,Low,Close,Volume
01.02.2012 08:25:00.000,1.30651,1.30662,1.30641,1.30658,255.05
01.02.2012 08:26:00.000,1.30661,1.30683,1.30633,1.30633,354.87
01.02.2012 08:27:00.000,1.30631,1.30643,1.30604,1.30604,269.87
01.02.2012 08:28:00.000,1.30605,1.30620,1.30600,1.30620,216.88
01.02.2012 08:29:00.000,1.30620,1.30643,1.30613,1.30627,250.92
01.02.2012 08:30:00.000,1.30624,1.30652,1.30620,1.30644,242.79
01.02.2012 08:31:00.000,1.30643,1.30670,1.30632,1.30669,245.45
01.02.2012 08:32:00.000,1.30669,1.30669,1.30630,1.30651,180.16
01.02.2012 08:33:00.000,1.30647,1.30664,1.30634,1.30658,259.05
01.02.2012 08:34:00.000,1.30658,1.30690,1.30643,1.30688,313.78
01.02.2012 08:35:00.000,1.30685,1.30740,1.30685,1.30733,366.51
01.02.2012 08:36:00.000,1.30732,1.30766,1.30732,1.30757,298.39
01.02.2012 08:37:00.000,1.30755,1.30756,1.30726,1.30729,315.52
01.02.2012 08:38:00.000,1.30727,1.30753,1.30722,1.30731,225.09
01.02.2012 08:39:00.000,1.30731,1.30744,1.30728,1.30737,220.89
01.02.2012 08:40:00.000,1.30739,1.30786,1.30735,1.30782,266.14
01.02.2012 08:41:00.000,1.30782,1.30785,1.30741,1.30744,394.20
01.02.2012 08:42:00.000,1.30744,1.30757,1.30719,1.30722,315.05
01.02.2012 08:43:00.000,1.30722,1.30753,1.30722,1.30751,274.28
01.02.2012 08:44:00.000,1.30750,1.30764,1.30746,1.30757,273.67
01.02.2012 08:45:00.000,1.30757,1.30759,1.30702,1.30711,322.78
01.02.2012 08:46:00.000,1.30711,1.30711,1.30683,1.30700,253.89
01.02.2012 08:47:00.000,1.30701,1.30709,1.30686,1.30705,277.13
01.02.2012 08:48:00.000,1.30704,1.30704,1.30669,1.30669,357.91
01.02.2012 08:49:00.000,1.30668,1.30674,1.30630,1.30649,279.66
01.02.2012 08:50:00.000,1.30647,1.30673,1.30644,1.30665,289.16
01.02.2012 08:51:00.000,1.30665,1.30734,1.30665,1.30727,337.59
